,Pregunta,Intencion,Pregunta_new,Pregunta_corregida
0,como puedo trabajar en santander rio,Cat_102,como puedo trabajar en santander rio,como puedo trabajar en santander rio
1,pagar tarjeta visa querer reintegro,Cat_350,pagar tarjeta visa querer reintegro,pagar tarjeta visa querer reintegro
2,pagar tarjeta naranja sistema,Cat_132,pagar tarjeta naranja sistema,pagar tarjeta naranja sistema
3,no se debitó la primera cuota del plan de bienes personales y quiero saber por que,Cat_129,no se debitó la primera cuota del plan de bienes personales y quiero saber por que,no se debito la primera cuota del plan de bienes personales y quiero saber por que
4,abonar tarjeta credito,Cat_342,abonar tarjeta credito,abonar tarjeta credito
5,se puede pagar la mastercard desde uno de los autoservicios del banco?,Cat_342,se puede pagar la mastercard desde uno de los autoservicios del banco,se puede pagar la mastercard desde uno de los autoservicios del banco
6,informar que vamos a viajar al exterior,Cat_304,informar que vamos a viajar al exterior,informar que vamos a viajar al exterior
7,pasar preguntar seguridad,Cat_1,pasar preguntar seguridad,pasar preguntar seguridad
8,olvide mi contraseña de hombamnkin,Cat_1,olvide mi contraseña de hombamnkin,olvide mi contraseña de hombamnkin
9,como doy de baja la tarjeta por telefono no es posible comunicarse,Cat_338,como doy de baja la tarjeta por telefono no es posible comunicarse,como doy de baja la tarjeta por telefono no es posible comunicarse
10,intentar poder obtener clave,Cat_1,intentar poder obtener clave,intentar poder obtener clave
11,mi abuela tiene que hacer la supervivencia en la sucursal de floresta.ahora ella está en pilar la puede realizar en un banco de ahi,Cat_88,mi abuela tiene que hacer la supervivencia en la sucursal de florestaahora ella está en pilar la puede realizar en un banco de ahi,mi abuela tiene que hacer la supervivencia en la sucursal de florestaahora ella esto en pilar la puede realizar en un banco de ahi
12,pagar servicio pagina banco,Cat_132,pagar servicio pagina banco,pagar servicio pagina banco
13,me cobran algo por recibir dolares del exterior?,Cat_31,me cobran algo por recibir dolares del exterior,me cobran algo por recibir dolar del exterior
14,me ayudás a terminar un canje? no puedo hacerlo de manera electrónica.,Cat_328,me ayudás a terminar un canje no puedo hacerlo de manera electrónica,me ayudas a terminar un canje no puedo hacerlo de manera electrónica
15,quiero solicitar el prestamo santander rio,Cat_223,quiero solicitar el prestamo santander rio,quiero solicitar el prestamo santander rio
16,puedo retirar dinero de un plazo fijo?,Cat_182,puedo retirar dinero de un plazo fijo,puedo retirar dinero de un plazo fijo
17,queria invertir en la bolsa acciones de pampa energía,Cat_151,queria invertir en la bolsa acciones de pampa energía,quera invertir en la bolsa acciones de pampa energía
18,queria saber como recuperar mi contraseña del cajero automatico,Cat_288,queria saber como recuperar mi contraseña del cajero automatico,quera saber como recuperar mi contraseña del cajero automatico
19,necesito pedir una reimpresión.que tramite tengo que realizar?,Cat_316,necesito pedir una reimpresiónque tramite tengo que realizar,necesito pedir una reimpresiónque tramite tengo que realizar
20,donde pago la cuota del prestamo personal?,Cat_239,donde pago la cuota del prestamo personal,donde pago la cuota del prestamo personal
21,tengo un atraso en el pago de mi tarjeta,Cat_192,tengo un atraso en el pago de mi tarjeta,tengo un atraso en el pago de mi tarjeta
22,en que casas de ropa va a haber promo?,Cat_311,en que casas de ropa va a haber promo,en que casas de ropa va a haber prono
23,deseo ver el estado de distribución del plástico,Cat_293,deseo ver el estado de distribución del plástico,deseo ver el estado de distribución del plástico
24,tardar reponer tarjeta debito,Cat_293,tardar reponer tarjeta debito,tardar reponer tarjeta debito
25,algun costo abrir fondo comun invercion,Cat_96,algun costo abrir fondo comun invercion,algun costo abrir fondo comun invencion
26,cuándo se hace la liquidación de letras del tesoro,Cat_158,cuándo se hace la liquidación de letras del tesoro,cuándo se hace la liquidación de letras del tesoro
27,necesitar saber cuanto pagar tarjeta,Cat_342,necesitar saber cuanto pagar tarjeta,necesitar saber cuanto pagar tarjeta
28,cambiar moneda tarjeta debitar exterior,Cat_289,cambiar moneda tarjeta debitar exterior,cambiar moneda tarjeta debitar exterior
29,hablilitacion para compras al exterior,Cat_304,hablilitacion para compras al exterior,habilitacion para compras al exterior
30,es posible anular el canje?,Cat_331,es posible anular el canje,es posible anular el canje
31,puedo abrirme una cuenta si vivo en el extranjero,Cat_39,puedo abrirme una cuenta si vivo en el extranjero,puedo abrirme una cuenta si vivo en el extranjero
32,que tengo en debito automatico,Cat_93,que tengo en debito automatico,que tengo en debito automatico
33,quisiera solicitar la tarjeta visa internacional,Cat_337,quisiera solicitar la tarjeta visa internacional,quisiera solicitar la tarjeta visa internacional
34,quiero poner mi ahorro en plazo fijo a dias,Cat_181,quiero poner mi ahorro en plazo fijo a dias,quiero poner mi ahorro en plazo fijo a dia
35,no me atienden por telefono y quiero dar de baja la tarjeta de ccredito,Cat_338,no me atienden por telefono y quiero dar de baja la tarjeta de ccredito,no me atienden por telefono y quiero dar de baja la tarjeta de credito
36,quiero abonar un servicio de dnrap y no me figura,Cat_132,quiero abonar un servicio de dnrap y no me figura,quiero abonar un servicio de dura y no me figura
37,consultar saldar,Cat_50,consultar saldar,consultar saldar
38,perdi mi tarjeta visa santander . a que número telefonico debo comunicarme?,Cat_294,perdi mi tarjeta visa santander  a que número telefonico debo comunicarme,perdis mi tarjeta visa santander a que número telefonico debo comunicarme
39,prestamos prendarios para motos tienen,Cat_228,prestamos prendarios para motos tienen,prestamos prendarios para motos tienen
40,reintegro pago servicios,Cat_312,reintegro pago servicios,reintegro pago servicios
41,dependo de la tasacion para ver el capital a solicitar?,Cat_216,dependo de la tasacion para ver el capital a solicitar,dependo de la tasacion para ver el capital a solicitar
42,numero de telefono,Cat_147,numero de telefono,numero de telefono
43,como hago para sacar dinero del cajero automatico,Cat_298,como hago para sacar dinero del cajero automatico,como hago para sacar dinero del cajero automatico
44,el cajero automatico me indico un descubierto erroneo.,Cat_56,el cajero automatico me indico un descubierto erroneo,el cajero automatico me indico un descubierto erroneo
45,vos me podes tomar un reclamo?,Cat_135,vos me podes tomar un reclamo,vos me podes tomar un reclamo
46,me enviaron mis premios pero no estaba en casa y jamás volvieron a enviarlos,Cat_326,me enviaron mis premios pero no estaba en casa y jamás volvieron a enviarlos,me enviaron mis premios pero no estaba en casa y jamas volvieron a enviarlos
47,quiero solicitar la tarjeta de credito,Cat_337,quiero solicitar la tarjeta de credito,quiero solicitar la tarjeta de credito
48,no se acreditaban los bonos vencidos días atrás?,Cat_161,no se acreditaban los bonos vencidos días atrás,no se acreditaban los bonos vencidos días atrás
49,para pagar los impuestos con la visa,Cat_132,para pagar los impuestos con la visa,para pagar los impuestos con la visa
50,queria extender la fecha de cierre de la visa.,Cat_348,queria extender la fecha de cierre de la visa,quera extender la fecha de cierre de la visa
51,necesito adquirir tarjeta visa,Cat_337,necesito adquirir tarjeta visa,necesito adquirir tarjeta visa
52,quisiera saber si estan otorgando creditos personales,Cat_225,quisiera saber si estan otorgando creditos personales,quisiera saber si restan otorgando credito personales
53,no puedo realizar un pago con tarjeta de credito,Cat_286,no puedo realizar un pago con tarjeta de credito,no puedo realizar un pago con tarjeta de credito
54,extender limite de descubierto,Cat_57,extender limite de descubierto,extender limite de descubierto
55,tasa fija hay para compra de vivienda?,Cat_258,tasa fija hay para compra de vivienda,tasa fija hay para compra de vivienda
56,cuanto interés tiene el plan v,Cat_308,cuanto interés tiene el plan v,cuanto interés tiene el plan v
57,como hago para quitar un debito automatico?,Cat_89,como hago para quitar un debito automatico,como hago para quitar un debito automatico
58,me llego mens q tengo q renovar mis claves y no se como hacerlo.,Cat_1,me llego mens q tengo q renovar mis claves y no se como hacerlo,me llego menes q tengo q renovar mis claves y no se como hacerlo
59,por que no puedo transferir usd por home banking?,Cat_80,por que no puedo transferir usd por home banking,por que no puedo transferir usd por home bancking
60,si quiero sacar plata en el exterior con la tarjeta de ccredito como tengo que hacer?,Cat_298,si quiero sacar plata en el exterior con la tarjeta de ccredito como tengo que hacer,si quiero sacar plata en el exterior con la tarjeta de credito como tengo que hacer
61,debito automatico servicios,Cat_132,debito automatico servicios,debito automatico servicios
62,quiero retirar la tarjeta en la sucursal de barracas,Cat_318,quiero retirar la tarjeta en la sucursal de barracas,quiero retirar la tarjeta en la sucursal de barracas
63,cómo puedo hacer para sacar un préstamo?,Cat_223,cómo puedo hacer para sacar un préstamo,como puedo hacer para sacar un préstamo
64,como cambiar mi pasaporte a dni,Cat_103,como cambiar mi pasaporte a dni,como cambiar mi pasaporte a dni
65,hacen comercio exterior en santander rio?,Cat_36,hacen comercio exterior en santander rio,hacen comercio exterior en santander rio
66,plastico tarjeta sucursal,Cat_293,plastico tarjeta sucursal,plastico tarjeta sucursal
67,no aparece en online banking quien es mi ejecutivo,Cat_126,no aparece en online banking quien es mi ejecutivo,no aparece en online bancking quien es mi ejecutivo
68,donde puedo buscartenencias,Cat_67,donde puedo buscartenencias,donde puedo buscartenencias
69,requisito abrir bancario,Cat_39,requisito abrir bancario,requisito abrir bancario
70,como recupero mi cuenta bloqueda?,Cat_51,como recupero mi cuenta bloqueda,como recupero mi cuenta bloquead
71,quiero sacar la tarjeta visa recarga. q costo tiene,Cat_313,quiero sacar la tarjeta visa recarga q costo tiene,quiero sacar la tarjeta visa recarga q costo tiene
72,reintegrar plata punto canjear,Cat_312,reintegrar plata punto canjear,reintegrar plata punto canjear
73,adquerir tarjeta,Cat_337,adquerir tarjeta,adquirir tarjeta
74,comprar una vivienda,Cat_228,comprar una vivienda,comprar una vivienda
75,quiero pagar desde mi caja de ahorro en dolares,Cat_307,quiero pagar desde mi caja de ahorro en dolares,quiero pagar desde mi caja de ahorro en dolar
76,cupo tarjeta credito,Cat_303,cupo tarjeta credito,cupo tarjeta credito
77,cuál es la tasa por un acuerdo de sobregiro?,Cat_56,cuál es la tasa por un acuerdo de sobregiro,cuál es la tasa por un acuerdo de sobregiro
78,el dinero del prestamo hipotecario se deposita en varios desembolsos?,Cat_226,el dinero del prestamo hipotecario se deposita en varios desembolsos,el dinero del prestamo hipotecario se deposita en varios desembolsos
79,me mandaron un voucher vencido,Cat_333,me mandaron un voucher vencido,me mandaron un vaucher vencido
80,ccredito personal,Cat_225,ccredito personal,credito personal
81,y para trabajar en santander?,Cat_102,y para trabajar en santander,y para trabajar en santander
82,queria hacer una consulta sobre un cheque depositado el viernes pasado y que vino rechazado. se puede saber el motivo?,Cat_47,queria hacer una consulta sobre un cheque depositado el viernes pasado y que vino rechazado se puede saber el motivo,quera hacer una consulta sobre un cheque depositado el viernes pasado y que vino rechazado se puede saber el motivo
83,saber monto abonar tarjeta santander visa,Cat_342,saber monto abonar tarjeta santander visa,saber monto abonar tarjeta santander visa
84,que papeles necesito para pedir un prendario,Cat_247,que papeles necesito para pedir un prendario,que papeles necesito para pedir un prendario
85,pagar servicio home banking tarjeta credito edenor,Cat_132,pagar servicio home banking tarjeta credito edenor,pagar servicio home bancking tarjeta credito elebor
86,como me doy cuenta si estoy sumando puntos superclub?,Cat_325,como me doy cuenta si estoy sumando puntos superclub,como me doy cuenta si estoy sumando puntos superclub
87,mis conumos del mes?,Cat_138,mis conumos del mes,mis consumos del mes
88,buenos dias,Cat_19,buenos dias,buenos dia
89,debo recibir plata en mi cuenta desde el exterior y aún no la recibí,Cat_33,debo recibir plata en mi cuenta desde el exterior y aún no la recibí,debo recibir plata en mi cuenta desde el exterior y azn no la recibí
90,como usar esto,Cat_10,como usar esto,como usar esto
91,soy jubilada y cobro x el banco.quiero saber el listado de farmacias q hacen el descuento de 25%.como sale en la propaganda de tv,Cat_311,soy jubilada y cobro x el bancoquiero saber el listado de farmacias q hacen el descuento de numbercomo sale en la propaganda de tv,soy jubilada y cobro x el bancoquiero saber el listado de farmacias q hacen el descuento de numbercomo sale en la propaganda de tv
92,donde apuntó mis datos personales para saber si puedo acceder al prestamo,Cat_248,donde apuntó mis datos personales para saber si puedo acceder al prestamo,donde apunte mis datos personales para saber si puedo acceder al prestamo
93,aparece debitaron erróneo,Cat_112,aparece debitaron erróneo,aparece debitaron erróneo
94,en el paseo alcorta no aplican la promocion del super miercoles mujer,Cat_311,en el paseo alcorta no aplican la promocion del super miercoles mujer,en el paseo alcorta no aplican la promocion del super miercoles mujer
95,a que número puedo llamar para un préstamo personal,Cat_223,a que número puedo llamar para un préstamo personal,a que número puedo llamar para un préstamo personal
96,cómo hago para comprar títulos públicos?,Cat_157,cómo hago para comprar títulos públicos,como hago para comprar títulos públicos
97,recien me llamaron veces! sera por el tema del traspaso de mi cuenta?,Cat_146,recien me llamaron veces sera por el tema del traspaso de mi cuenta,recien me llamaron veces sera por el tema del traspaso de mi cuenta
98,como se si mi tarjeta llego ala sucursal?,Cat_293,como se si mi tarjeta llego ala sucursal,como se si mi tarjeta llego ala sucursal
99,como es el financiamiento una vez que hacer el pago mínimo?,Cat_308,como es el financiamiento una vez que hacer el pago mínimo,como es el financiamiento una vez que hacer el pago mínimo
100,tengo un problema con el calefón  no funciona. tengo cobertura por eso?,Cat_265,tengo un problema con el calefón  no funciona tengo cobertura por eso,tengo un problema con el calefon no funciona tengo cobertura por eso
101,me dice que la tarjeta esta bloqueada.,Cat_286,me dice que la tarjeta esta bloqueada,me dice que la tarjeta esta bloqueada
102,simulación de super prestamo santander rio,Cat_251,simulación de super prestamo santander rio,simulación de super prestamo santander rio
103,como puedo saver si depocitaron dinero a mi nombre,Cat_50,como puedo saver si depocitaron dinero a mi nombre,como puedo saber si depositaron dinero a mi nombre
104,porque no aparece la tarjeta como pagada,Cat_279,porque no aparece la tarjeta como pagada,porque no aparece la tarjeta como pagada
105,comision extraccion exterior,Cat_96,comision extraccion exterior,comision extraccion exterior
106,compra exterior dolares tarjeta visa pagar pesos,Cat_307,compra exterior dolares tarjeta visa pagar pesos,compra exterior dolar tarjeta visa pagar pesos
107,me robó la empleada doméstica  tengo cobertura?,Cat_265,me robó la empleada doméstica  tengo cobertura,me robo la empleada domestica tengo cobertura
108,activacion de extension,Cat_301,activacion de extension,activacion de extension
109,ccredito preacordado,Cat_225,ccredito preacordado,credito procordado
110,querer pagar parcial tarjeta visa,Cat_342,querer pagar parcial tarjeta visa,querer pagar parcial tarjeta visa
111,como puedo canjear los puntos,Cat_322,como puedo canjear los puntos,como puedo canjear los puntos
112,puedo solicitar un prestamo personal para hacer arreglos en mi casa?,Cat_228,puedo solicitar un prestamo personal para hacer arreglos en mi casa,puedo solicitar un prestamo personal para hacer arreglos en mi casa
